date,open,close,high,low,volume,money
2019-06-28,3832.06,3825.59,3835.23,3803.05,8476613900,116512050673
2019-07-01,3899.33,3935.81,3936.67,3886.91,15837034000,217470251110
2019-07-02,3931.05,3937.17,3942.43,3918.94,13186349600,173997045122
2019-07-03,3927.44,3893.53,3927.44,3878.84,11199260300,163145730935
2019-07-04,3895.2,3873.1,3906.89,3854.69,9934225600,142669255176
2019-07-05,3875.37,3893.2,3900.31,3857.93,7400652700,116236522103
2019-07-08,3875.75,3802.79,3875.75,3775.03,10953908600,147198419380
2019-07-09,3798.1,3793.13,3811.1,3774.76,7484273200,113147602951
2019-07-10,3807.95,3786.74,3810.4,3774.23,7283394800,101355477029
2019-07-11,3806.19,3785.22,3830.74,3774.41,7531196500,113674616215
2019-07-12,3783.07,3808.73,3820.24,3774.52,7546596700,107007923971
2019-07-15,3792.64,3824.19,3844.87,3745.85,10120522200,142493046609
2019-07-16,3819.25,3806.84,3828.33,3799.87,8073095200,108449682783
2019-07-17,3800.11,3804.64,3820.27,3787.9,9518388500,116766781137
2019-07-18,3793.19,3768.4,3793.39,3768.0,8749644500,111669365488
2019-07-19,3787.51,3807.96,3828.15,3787.51,8808614900,117797528165
2019-07-22,3813.5,3781.68,3816.54,3765.44,9210137700,117810448145
2019-07-23,3783.54,3789.91,3792.96,3768.76,7131334600,103866608768
2019-07-24,3803.59,3819.83,3840.06,3803.57,9094068400,129940587223
2019-07-25,3821.39,3851.07,3851.07,3812.95,9374041700,125899502555
2019-07-26,3835.23,3858.57,3863.59,3832.52,8325930000,110929728703
2019-07-29,3857.94,3854.27,3862.75,3842.43,8481437000,111679108840
2019-07-30,3861.57,3870.32,3890.73,3861.57,9412395500,120480280020
2019-07-31,3856.74,3835.36,3856.74,3830.09,8215115500,111083892777
2019-08-01,3819.32,3803.47,3831.26,3791.55,8411418000,117649163850
2019-08-02,3729.13,3747.44,3754.53,3720.06,10833589700,141874787569
2019-08-05,3724.41,3675.69,3739.5,3675.69,10132598100,133061101375
2019-08-06,3609.11,3636.33,3649.9,3575.86,12983387100,167267479638
2019-08-07,3654.63,3621.43,3659.08,3621.43,8423871600,108667668029
2019-08-08,3651.36,3669.29,3675.46,3646.94,8845770700,114981616120
2019-08-09,3686.75,3633.53,3689.18,3628.12,8529558000,116355689959
2019-08-12,3647.87,3699.1,3699.1,3643.32,8208305600,121129345184
2019-08-13,3675.59,3665.75,3686.43,3658.01,7650030200,103764319440
2019-08-14,3712.07,3682.4,3717.56,3680.61,9120259000,128301671072
2019-08-15,3618.01,3694.0,3694.3,3612.11,8859883200,119241082583
2019-08-16,3697.94,3710.54,3738.1,3687.08,8831916900,132696910341
2019-08-19,3736.03,3791.09,3791.09,3720.69,13932701300,195448939475
2019-08-20,3786.03,3787.73,3799.9,3778.73,10860208800,149115340694
2019-08-21,3778.31,3781.76,3792.6,3775.45,8229988000,121688505094
2019-08-22,3793.86,3793.51,3797.33,3771.2,8580779200,120708136081
2019-08-23,3796.88,3820.86,3829.36,3788.03,8795458300,137802154001
2019-08-26,3756.36,3765.91,3778.87,3753.16,9385926900,142350985497
2019-08-27,3791.46,3816.95,3848.24,3790.87,12473147800,181748784078
2019-08-28,3818.81,3802.58,3822.59,3790.14,8875081200,137667277244
2019-08-29,3805.49,3790.19,3808.6,3774.4,8408338700,126475676638
2019-08-30,3816.68,3799.59,3828.97,3778.92,9669515000,152408668676
2019-09-02,3803.69,3848.32,3855.78,3799.82,11028934900,164994458613
2019-09-03,3852.58,3853.61,3856.68,3833.76,9771463100,146270633848
2019-09-04,3848.65,3886.0,3886.0,3846.42,12662861500,176839744818
2019-09-05,3909.21,3925.32,3970.0,3909.21,18165623100,244681225480
2019-09-06,3946.69,3948.51,3948.54,3922.34,12188237600,181718270030
2019-09-09,3980.96,3972.95,3985.24,3954.88,14680975400,209545387190
2019-09-10,3976.87,3959.27,3976.92,3938.74,13088938600,184494349873
2019-09-11,3969.68,3930.1,3971.22,3922.95,13159487500,190165007511
2019-09-12,3944.69,3972.38,3975.93,3933.44,11024127300,156750653137
2019-09-16,3981.36,3957.72,3982.2,3943.37,11025980500,154736552348
2019-09-17,3947.16,3891.22,3947.16,3879.49,11369431700,154899299888
2019-09-18,3902.99,3910.08,3923.15,3902.51,8205615200,130159557671
2019-09-19,3923.96,3924.38,3924.38,3897.07,8598423800,127421791159
2019-09-20,3933.46,3935.65,3942.22,3921.41,10345595500,153162588494
2019-09-23,3925.19,3890.66,3925.19,3868.21,9403622500,139223506453
2019-09-24,3895.87,3901.08,3927.01,3886.14,8778323000,142341399678
2019-09-25,3887.55,3870.98,3889.84,3867.23,8952083500,133224463638
2019-09-26,3884.7,3841.14,3890.75,3840.25,10269830100,150806750012
2019-09-27,3843.46,3852.65,3859.5,3832.25,7400394700,109130484004
2019-09-30,3842.07,3814.53,3857.23,3813.55,6593131300,100487271138
2019-10-08,3818.59,3837.68,3861.64,3818.59,7665786000,118365682514
2019-10-09,3822.61,3843.24,3845.34,3805.07,7585451200,112406207027
2019-10-10,3838.49,3874.64,3877.14,3829.43,7922269400,127474042852
